filename,comment,label
babies10.png,thlle,
babies102.png,3a,
babies0.png,,
babies100.png,nininibinis,
babies101.png,,
babies104.png,,
babies103.png,Phoolo ahT Taaron Ka Sabka chT Hai Ek R Kilo Ki Meri Behna,
babies1.png,,
babies107.png,Stinystep KITNI MOTI HOGYI HAI TU MOTI KISKO BOLA RE TAKLE,
babies110.png,,
babies105.png,/memerhubc69 *Raat bhar jaag kar aur fir subhah late uthkar kya milta hai Me: Ye alag kism ka nasha hai,
babies11.png,Modi  ji ko bs Desh ki pari hai Idhar mera wala mese baat nhi kr rha,
babies108.png,Girls Before & After 21 Days Lockdown Boys Before & Aft 210 ckdou,
babies106.png,FB/Funhg Lif,
babies111.png,fraataa,
babies115.png,,
babies112.png,3 34 H..! fah,
babies117.png,Kabhi  Card Wala Bhi Photo 3yt DP  Lagao Aakhir Vo Bhi at Apna He Hai,
babies113.png,"Husband-, 9 e",
babies114.png,Ufffff Allah Muihe itta cute b.com lenb kyu bnaya,
babies118.png,WHATDOYOUMEANNOUDIDN TGETMY FATHER'SDAYCARD? DDYOUCHECKYOURSPAM FOLDERE??,
babies116.png,R,
babies120.png,Naseeb Mein Hum Nahi Us Bada Badnaseeb 3 Koi Nahi,
babies119.png,,
babies109.png,School.wali.baatein @School.wali.baatein 2 ghante non stop lecture dene k baad mom kehti hai School.wali.Baatein IG |@School.wali.Baatein mene toh isse kuch kehna hi chord diya hai.... School wali Baatein,
babies12.png,excuse me Rqh,
babies125.png,ngh,
babies121.png,6 bloator,
babies126.png,"Dil wil pyaar wyaar me kya jaanu re Aankhe kholu to jhaadu,pocha bartan maanju ree",
babies127.png,h f g Admin..Single,
babies123.png,WhatsApp gf  HandsomeDashing e,
babies128.png,Aur Batao.. Fb.com/Aypor Fb.com/Avpjokes Kya Bataun.Beyyy,
babies122.png,.  - wk   e 1,
babies134.png,,
babies13.png,"Na Me-mujhe naya school bag chahiye Mom-bhaiya ka bag le le,usko naya dila denge Me~",
babies130.png,y .,
babies132.png,Serious Baat Karo To Log Majak Bana Lete Hai Mazak Karo To Muh Fula Lete Hai,
babies131.png,School life  sir Homework  /BhukkadBabaj R Th,
babies133.png,WELLTHENSMARTASS TELLME THE CORRECT ANSWER,
babies136.png,WELLTHENSMARTASS TELLME THE CORRECT ANSWER,
babies137.png,When you wake up in the middle of the night and realize you still have time to sleep,
babies124.png,en y e n AINSPIRED -425 hh hh INSPIRED www. INSPIREDHINDI. SLOGSPOT.COM,
babies138.png,135,
babies129.png,"Chapter 3 ke Notes Send Kar 1150AM Mere Pass Nahi Hain  11:52AM Acha Toh Chapter 4 Ke hi Bej dee  Yaar Sachi Voh Bhi Nahi Hai 11:52AM Beta,agr tere 90% aaye na toh crime petrol mein tera episode aayega  11:S2AM",
babies143.png,,
babies135.png,,
babies14.png,Achha Suno slfaq Nahi Hun Lekin Itna Bata Sakta Hun @aurbataoo Is Time Aapki 4 Ungliya Phone Ke Piche Hai..,
babies140.png,Hm Manhoos Billi se zyada popular hogae hain FB pe Hain?BC ABC ABC!!,
babies139.png,f- .! WWW.HASLEA SS.COM,
babies141.png,aucl.com ORes - facebook.com/dekhobhopa,
